"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1900371",0.27925797791641,-0.0266946280276804,2.56326044788078,0.0118268799386939,0.981934279416798,-3.16614336621381
"ILMN_2266595",0.434044838972863,-0.064148539555231,2.55969233624735,0.0119414199287962,0.981934279416798,-3.17113841239467
"ILMN_1665095",-0.293956023526918,-0.0272365613502737,-2.55532974606833,0.0120828189205494,0.981934279416798,-3.17723782713472
"ILMN_1718619",-0.263556645532473,0.0966220551045104,-2.55271885567715,0.0121681608558373,0.981934279416798,-3.1808840344365
"ILMN_3282587",0.257807258085747,-0.0199520039202402,2.55109385108049,0.01222155050134,0.981934279416798,-3.18315185445044
"ILMN_1658702",-0.267169654585753,-0.0484046048586441,-2.54848592274935,0.012307674516104,0.981934279416798,-3.1867889169905
"ILMN_1767020",-0.279261088046226,0.085389803100317,-2.54305605093188,0.0124887427507642,0.981934279416798,-3.19435160530675
"ILMN_1787461",-0.30104617418267,0.0699639173585521,-2.53475793930745,0.0127700836292671,0.981934279416798,-3.20588327157112
"ILMN_1665943",-0.2600536956236,0.0428775869801122,-2.52612059836165,0.0130689585446996,0.981934279416798,-3.21785306088519
"ILMN_1761566",0.311642929664877,-0.0867320820053126,2.52263520300274,0.0131913295938225,0.981934279416798,-3.22267355560954
"ILMN_1656287",-0.258059572264206,0.0548366916495651,-2.5154690945509,0.0134461639105988,0.981934279416798,-3.23256725624804
"ILMN_2357419",0.335253755439308,-0.0464557445308955,2.50779181325712,0.0137240660017796,0.981934279416798,-3.24314064652442
"ILMN_3258424",0.327782759819714,-0.0203795081537352,2.5037654371095,0.0138718608424112,0.981934279416798,-3.24867511088816
"ILMN_1692267",-0.254733615294242,0.0275002916430386,-2.48785000499646,0.0144701182971578,0.981934279416798,-3.27047891452964
"ILMN_1786303",0.320494845718903,-0.0410847518562086,2.48732758280216,0.0144901415957432,0.981934279416798,-3.27119264946128
"ILMN_1715131",-0.256875455389573,0.00604805879320454,-2.48704640999936,0.014500928592658,0.981934279416798,-3.27157673671765
"ILMN_1719998",-0.275333721614195,0.0138557502234881,-2.48616220737898,0.0145348972439151,0.981934279416798,-3.27278433689465
"ILMN_1659027",-0.252284165344581,0.00672389680187779,-2.48347812260616,0.0146384489403541,0.981934279416798,-3.27644792376302
"ILMN_2126239",-0.276059339811097,0.0612303177253612,-2.4690067718136,0.0152082039128632,0.981934279416798,-3.29614311463988
"ILMN_1898453",-0.267210925116699,0.0223133511283811,-2.46812852467346,0.0152434109515886,0.981934279416798,-3.29733528058982
"ILMN_3279414",0.347535016221367,-0.0197959406893385,2.46776603862807,0.0152579634546145,0.981934279416798,-3.29782722904105
"ILMN_1822307",-0.286253229330507,0.0883406809513813,-2.44957930103511,0.0160042166435267,0.981934279416798,-3.32243138730295
"ILMN_1758337",-0.269473136009818,-0.0170250736351514,-2.4493424830035,0.0160141450639766,0.981934279416798,-3.32275075946565
"ILMN_1717420",0.318083279708037,-0.118889620278502,2.44552707595295,0.0161748622792109,0.981934279416798,-3.32789262215003
"ILMN_3243714",-0.250974542711447,0.119679224973067,-2.44429247911781,0.0162271746473611,0.981934279416798,-3.32955498985001
"ILMN_2262044",-0.289565781137241,0.0169257769148538,-2.43782631199181,0.0165036311811988,0.981934279416798,-3.33825003534541
"ILMN_1741180",-0.293647477668072,0.0428817503965939,-2.43264127297236,0.016728338402243,0.981934279416798,-3.3452083124146
"ILMN_2073184",-0.301332618235277,0.0831507021699293,-2.42716779047636,0.0169684995812525,0.981934279416798,-3.35254010619797
"ILMN_2395711",0.252652034614215,-0.085994937899126,2.41147585840287,0.0176741232653754,0.981934279416798,-3.37348222587867
"ILMN_1676946",-0.267046799065657,0.0117608137068137,-2.41129298519645,0.0176824981745174,0.981934279416798,-3.37372560697603
"ILMN_1664912",-0.248337618231373,0.0682777603839609,-2.4101107871777,0.0177367236257013,0.981934279416798,-3.37529858583004
"ILMN_2405078",0.250426627155346,-0.0289626421627141,2.40931676413383,0.017773227099707,0.981934279416798,-3.37635470999348
"ILMN_2302757",-0.294950996274983,0.0581828399828412,-2.40526789356079,0.0179604057898356,0.981934279416798,-3.38173549799498
"ILMN_1715669",0.269529537704803,-0.131229291370462,2.40178375856617,0.0181228773348158,0.981934279416798,-3.38635963460478
"ILMN_1667932",-0.271878255036076,0.080917311691555,-2.39970242683102,0.0182205555456949,0.981934279416798,-3.38911926191467
"ILMN_2365111",-0.250616252210466,0.0827773824727571,-2.39817460684595,0.0182925545076738,0.981934279416798,-3.39114369925528
"ILMN_1708328",-0.26244900818022,0.065480494751764,-2.39455909871569,0.0184639439996603,0.981934279416798,-3.39593006940965
"ILMN_1696601",-0.275268707076281,0.108740538001881,-2.39366582671092,0.0185065077313414,0.981934279416798,-3.39711167835035
"ILMN_1695530",0.337792636215471,-0.0370144126573779,2.38712569133122,0.0188208033706005,0.981934279416798,-3.40575148128068
"ILMN_1656868",-0.276917017172877,0.121037092179134,-2.38629868995466,0.018860881631361,0.981934279416798,-3.40684255582623
"ILMN_1881538",0.327001147182785,-0.0985627591444393,2.38379535774475,0.0189826604798843,0.981934279416798,-3.41014327886647
"ILMN_1784287",-0.265419200317732,0.042434716491257,-2.37671332922574,0.0193309646150753,0.981934279416798,-3.41946520120597
"ILMN_1738047",-0.242918030860564,-0.0687439209635287,-2.3754783839666,0.0193922778615293,0.981934279416798,-3.42108831702855
"ILMN_1771139",-0.246381147954584,0.0310178806618454,-2.37270930004398,0.0195303860144378,0.981934279416798,-3.42472517498517
"ILMN_1900263",-0.272578164870906,0.0533925804644213,-2.37054999740132,0.019638685588336,0.981934279416798,-3.42755865240303
"ILMN_1745620",0.268218547760488,-0.0122716119769934,2.36549109951235,0.0198945006420903,0.984876269410409,-3.43418842713364
"ILMN_1790985",0.265647796127152,-0.0337903319410739,2.35889119119799,0.0202326758534305,0.991797835952475,-3.44281957170391
"ILMN_3224290",0.237917581164004,-0.0394413210458022,2.34730264896113,0.0208387936486331,0.991990189926785,-3.45792488936893
